0.1, 0.1, 5, 234, 73
0.1, 0.1, 5, 234, 73
0.1, 0.1, 25, 185, 24
0.1, 0.1, 50, 189, 28
0.1, 0.1, 100, 176, 15
0.1, 0.3, 5, 225, 64
0.1, 0.3, 25, 200, 39
0.1, 0.3, 50, 184, 23
0.1, 0.3, 100, 176, 15
0.1, 0.5, 5, 231, 70
0.1, 0.5, 25, 200, 39
0.1, 0.5, 50, 179, 18
0.1, 0.5, 100, 188, 27
0.1, 0.7, 5, 254, 93
0.1, 0.7, 25, 189, 28
0.1, 0.7, 50, 184, 23
0.1, 0.7, 100, 180, 19
0.1, 0.9, 5, 241, 80
0.1, 0.9, 25, 180, 19
0.1, 0.9, 50, 185, 24
0.1, 0.9, 100, 180, 19
0.3, 0.1, 5, 238, 77
0.3, 0.1, 25, 214, 53
0.3, 0.1, 50, 195, 34
0.3, 0.1, 100, 184, 23
0.3, 0.3, 5, 234, 73
0.3, 0.3, 25, 214, 53
0.3, 0.3, 50, 200, 39
0.3, 0.3, 100, 186, 25
0.3, 0.5, 5, 256, 95
0.3, 0.5, 25, 204, 43
0.3, 0.5, 50, 204, 43
0.3, 0.5, 100, 186, 25
0.3, 0.7, 5, 260, 99
0.3, 0.7, 25, 204, 43
0.3, 0.7, 50, 186, 25
0.3, 0.7, 100, 188, 27
0.3, 0.9, 5, 270, 109
0.3, 0.9, 25, 209, 48
0.3, 0.9, 50, 195, 34
0.3, 0.9, 100, 193, 32
0.5, 0.1, 5, 265, 104
0.5, 0.1, 25, 228, 67
0.5, 0.1, 50, 222, 61
0.5, 0.1, 100, 203, 42
0.5, 0.3, 5, 296, 135
0.5, 0.3, 25, 242, 81
0.5, 0.3, 50, 226, 65
0.5, 0.3, 100, 195, 34
0.5, 0.5, 5, 266, 105
0.5, 0.5, 25, 223, 62
0.5, 0.5, 50, 233, 72
0.5, 0.5, 100, 209, 48
0.5, 0.7, 5, 264, 103
0.5, 0.7, 25, 223, 62
0.5, 0.7, 50, 204, 43
0.5, 0.7, 100, 195, 34
0.5, 0.9, 5, 271, 110
0.5, 0.9, 25, 225, 64
0.5, 0.9, 50, 207, 46
0.5, 0.9, 100, 197, 36
0.7, 0.1, 5, 283, 122
0.7, 0.1, 25, 248, 87
0.7, 0.1, 50, 232, 71
0.7, 0.1, 100, 218, 57
0.7, 0.3, 5, 295, 134
0.7, 0.3, 25, 248, 87
0.7, 0.3, 50, 225, 64
0.7, 0.3, 100, 214, 53
0.7, 0.5, 5, 296, 135
0.7, 0.5, 25, 243, 82
0.7, 0.5, 50, 235, 74
0.7, 0.5, 100, 223, 62
0.7, 0.7, 5, 288, 127
0.7, 0.7, 25, 248, 87
0.7, 0.7, 50, 253, 92
0.7, 0.7, 100, 215, 54
0.7, 0.9, 5, 320, 159
0.7, 0.9, 25, 244, 83
0.7, 0.9, 50, 244, 83
0.7, 0.9, 100, 224, 63
0.9, 0.1, 5, 334, 173
0.9, 0.1, 25, 293, 132
0.9, 0.1, 50, 254, 93
0.9, 0.1, 100, 242, 81
0.9, 0.3, 5, 334, 173
0.9, 0.3, 25, 282, 121
0.9, 0.3, 50, 256, 95
0.9, 0.3, 100, 256, 95
0.9, 0.5, 5, 342, 181
0.9, 0.5, 25, 267, 106
0.9, 0.5, 50, 259, 98
0.9, 0.5, 100, 237, 76
0.9, 0.7, 5, 327, 166
0.9, 0.7, 25, 279, 118
0.9, 0.7, 50, 259, 98
0.9, 0.7, 100, 240, 79
0.9, 0.9, 5, 320, 159
0.9, 0.9, 25, 276, 115
0.9, 0.9, 50, 254, 93
0.9, 0.9, 100, 246, 85
